#機能タイプ,PvP倍率,機能効果アップの適用,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,パラメータ6,パラメータ7,パラメータ8,パラメータ9,パラメータ10,
#攻撃,,,,,,,,,,,,,
ATTACK_AA,25,1,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,ATTR,SKILL_PHYSICS_TYPE,,
ATTACK_AP,25,1,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,ATTR,SKILL_PHYSICS_TYPE,,
ATTACK_PA,25,1,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,ATTR,SKILL_PHYSICS_TYPE,,
ATTACK_PP,25,1,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,ATTR,SKILL_PHYSICS_TYPE,,
ATK_OP_DRAIN,50,,VALUE,VALUE,VALUE,,,,,,,,
ATK_OP_DRAIN_ALL,50,,VALUE,VALUE,VALUE,,,,,,,,
ATK_OP_REVENGE,25,,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,,,,,,,
ATK_OP_NOW_TURN_REVENGE,25,,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,,,,,,,
ATK_OP_PIERCING,100,,VALUE,VALUE,,,,,,,,,
ATK_OP_DAMAGE_INCREASE,25,1,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,,,,,
ATK_OP_ATTR_RATE_DOWN_INVALID,100,,,,,,,,,,,,
#回復,
HEAL_FIXED,50,1,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,,,,
HEAL_BY_TARGET_HP,50,1,VALUE,VALUE,VALUE,VALUE,,,,,,,
HEAL_BY_TARGET_MAXHP,50,1,VALUE,VALUE,VALUE,VALUE,,,,,,,
HEAL_BY_SELF_PARAM,50,1,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,,,
REGENERATE_FIXED,50,1,VALUE,VALUE,VALUE,VALUE,VALUE,SKILL_ROLE_BATTLE_PARAM,,,,,
REGENERATE_BY_TARGET_HP,50,1,VALUE,VALUE,VALUE,VALUE,VALUE,,,,,,
REGENERATE_BY_TARGET_MAXHP,50,1,VALUE,VALUE,VALUE,VALUE,VALUE,,,,,,
REGENERATE_BY_SELF_PARAM,50,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,,
CARD_SEAL_RECOVERY,0,,VALUE,VALUE,VALUE,SKILL_KIND_BIT,ATTR_BIT,VALUE,VALUE,VALUE,,,
#支援,
ATK_UP_BY_SELF_PARAM,12,1,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,
ATK_UP_BY_TARGET_PARAM,12,1,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,
ATK_UP_FIXED,12,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,,
ATK_UP_FIXED_ATTR_BONUS,12,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,ATTR,VALUE,,,
ATK_UP_BY_NOW_TURN_DAMAGE,12,1,VALUE,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,,,,,,
ATK_UP_TARGET_ENEMY_PARAM,12,1,VALUE,SKILL_ROLE_BATTLE_PARAM,SKILL_ROLE_BATTLE_PARAM,VALUE,VALUE,VALUE,VALUE,,,,
DAMAGE_UP,12,1,VALUE,VALUE,VALUE,ATTR,SKILL_PHYSICS_TYPE,,,,,,
DEBUFF_RELEASE,100,,VALUE,VALUE,,,,,,,,,
